Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.65184E-4,67.318382854,0.851978535,0.032323232,0.670886076,0
7.66943E-4,67.548192748,0.852627151,0.032034632,0.675949367,0
7.69737E-4,67.778864899,0.853651652,0.031746032,0.678481013,0
7.73545E-4,68.010651338,0.855036261,0.031457431,0.681012658,0
7.78748E-4,68.3214522,0.85690731,0.031072631,0.688607595,0
7.80545E-4,68.555454573,0.857547948,0.030784031,0.688607595,0
7.82685E-4,68.790041387,0.858306806,0.03049543,0.688607595,0
7.8639E-4,69.025605729,0.859611515,0.03020683,0.691139241,0
7.8807E-4,69.2617646,0.860199215,0.02991823,0.693670886,0
7.89551E-4,69.577489249,0.860715051,0.02953343,0.696202532,0
7.945E-4,69.815457557,0.862425407,0.029244829,0.698734177,0
7.95844E-4,70.054099419,0.862886533,0.028956229,0.701265823,0
7.97716E-4,70.293250937,0.863525612,0.028667629,0.701265823,0
8.01793E-4,70.533670578,0.86490797,0.028379028,0.703797468,0
8.08404E-4,70.775968551,0.867119358,0.028090428,0.706329114,0
8.12398E-4,71.019155891,0.86843759,0.027801828,0.713924051,0
8.15331E-4,71.263394414,0.869397631,0.027513228,0.713924051,0
8.19141E-4,71.508814656,0.870634026,0.027224627,0.716455696,0
8.2219E-4,71.754878643,0.871615011,0.026936027,0.716455696,0
8.23238E-4,72.001775156,0.871950494,0.026647427,0.718987342,0
8.24201E-4,72.331425015,0.872258168,0.026262626,0.724050633,0
8.25403E-4,72.578885569,0.872640822,0.025974026,0.729113924,0
8.2993E-4,72.827370432,0.874072071,0.025685426,0.729113924,0
8.33701E-4,73.077148525,0.875252242,0.025396825,0.729113924,0
8.35759E-4,73.327730766,0.875891474,0.025108225,0.73164557,0
8.36727E-4,73.578591925,0.876191034,0.024819625,0.73164557,0
8.3925E-4,73.829900412,0.876968439,0.024531025,0.734177215,0
8.4045E-4,74.08196903,0.877336706,0.024242424,0.736708861,0
8.4192E-4,74.250224814,0.877785853,0.024050024,0.736708861,0
8.43511E-4,74.503144242,0.878270494,0.023761424,0.739240506,0
8.49759E-4,74.757509768,0.880154498,0.023472823,0.741772152,0
8.54499E-4,75.013299039,0.881564347,0.023184223,0.744303797,0
8.5653E-4,75.270000615,0.882163645,0.022895623,0.746835443,0
8.59334E-4,75.527519662,0.882985515,0.022607023,0.746835443,0
8.62114E-4,75.78565311,0.883794944,0.022318422,0.749367089,0
8.66776E-4,76.045144015,0.885139494,0.022029822,0.751898734,0
8.67927E-4,76.30544123,0.885469219,0.021741222,0.751898734,0
8.70602E-4,76.566198582,0.886231459,0.021452621,0.751898734,0
8.7389E-4,76.82779802,0.887161655,0.021164021,0.756962025,0
8.74471E-4,77.002671495,0.887325223,0.020971621,0.756962025,0
8.78725E-4,77.266098182,0.888515538,0.020683021,0.762025316,0
8.80492E-4,77.530138426,0.889006298,0.02039442,0.764556962,0
8.82643E-4,77.794773116,0.88960081,0.02010582,0.767088608,0
8.88087E-4,78.060747957,0.89109124,0.01981722,0.772151899,0
8.89732E-4,78.327562912,0.891537573,0.01952862,0.772151899,0
8.9138E-4,78.505812694,0.891982913,0.019336219,0.774683544,0
8.98382E-4,78.775015328,0.893854786,0.019047619,0.77721519,0
9.00684E-4,79.044914091,0.89446314,0.018759019,0.779746835,0
9.02535E-4,79.315462342,0.894949766,0.018470418,0.782278481,0
9.07204E-4,79.587237986,0.896167225,0.018181818,0.784810127,0
9.10312E-4,79.769118598,0.8969696,0.017989418,0.787341772,0
9.1212E-4,80.042645205,0.897433613,0.017700818,0.789873418,0
9.14341E-4,80.31685148,0.898000942,0.017412217,0.792405063,0
9.16601E-4,80.500133117,0.898574706,0.017219817,0.792405063,0
9.19726E-4,80.775669462,0.899363152,0.016931217,0.797468354,0
9.23677E-4,81.052655332,0.900350887,0.016642617,0.797468354,0
9.27839E-4,81.330681005,0.901380932,0.016354016,0.8,0
9.32762E-4,81.516795436,0.902585764,0.016161616,0.8,0
9.38441E-4,81.797270716,0.903957207,0.015873016,0.805063291,0
9.41033E-4,82.079292092,0.904576701,0.015584416,0.805063291,0
9.41741E-4,82.267606398,0.904745219,0.015392015,0.805063291,0
9.46052E-4,82.551180269,0.905765015,0.015103415,0.810126582,0
